PG.CellularComponent	PG.BiologicalProcess	PG.MolecularFunction	PG.UniprotIds	PG.Genes	PG.ProteinDescriptions	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.UniquePeptides
cytoplasm,microvillus,cell surface,lamellipodium,filopodium,filamentous actin;;	Arp2/3 complex-mediated actin nucleation,regulation of GTPase activity,thrombin receptor signaling pathway;;	calmodulin binding,phosphatidylinositol-3,4,5-trisphosphate binding,Rac GTPase binding,actin filament binding,Arp2/3 complex binding;;	F1S2H7;F1S2H8;I3LV91	IQGAP2	IQ motif containing GTPase activating protein 2	NaN	NaN	1612759	469243.2	790573.4	2482758	NaN	NaN	3	3	3	3
;	;regulation of RNA splicing	;RNA binding	A0A287AX80;A0A287B770	SRSF10	Serine and arginine rich splicing factor 10	NaN	NaN	928008.8	801001.5	718237.1	20337.99	NaN	NaN	2	2	2	2
;;intracellular;;;;;;;;lamellipodium,filopodium,growth cone,stereocilium,perinuclear region of cytoplasm	;;negative regulation of actin filament polymerization;;;;;;;;positive regulation of lamellipodium assembly,negative regulation of actin filament polymerization,positive regulation of axon extension,cellular response to retinoic acid,cellular response to growth factor stimulus	;;actin binding;;;;;;;;actin monomer binding,protein kinase C binding,ATP binding,phosphatidylinositol-4,5-bisphosphate binding,cadherin binding	A0A287A2T9;A0A287A3P5;A0A287AEW7;A0A287AWN9;A0A5G2Q7I8;A0A5G2QLL1;A0A5G2R7K0;A0A5G2RCX5;A0A5G2RDX5;F1SGZ8;F1SIX7	TWF1;TWF2;TWF1;TWF1;TWF2;TWF1;TWF2;TWF2;TWF1;TWF1;TWF2	Twinfilin actin binding protein 1;Twinfilin actin binding protein 2;Twinfilin actin binding protein 1;Twinfilin actin binding protein 1;Twinfilin actin binding protein 2;Twinfilin actin binding protein 1;Twinfilin actin binding protein 2;Twinfilin actin binding protein 2;Twinfilin actin binding protein 1;Twinfilin actin binding protein 1;Twinfilin actin binding protein 2	NaN	NaN	997966.4	756921.8	NaN	751996.3	NaN	NaN	1	1	NaN	1
mitochondrial intermembrane space protein transporter complex,mitochondrial inner membrane protein insertion complex	protein import into mitochondrial inner membrane	protein transporter activity,metal ion binding	A0A286ZVD0	TIMM10	Translocase of inner mitochondrial membrane 10	NaN	NaN	1449864	810555.8	1818144	945397.6	NaN	NaN	1	1	1	1
;;	;;	;;	A0A287AE47;A0A287B310;A0A5G2R6Z7	STOM	Stomatin	NaN	NaN	75021.32	58285.35	NaN	NaN	NaN	NaN	1	1	NaN	NaN
;smooth endoplasmic reticulum,plasma membrane,Z disc,sarcoplasmic reticulum membrane,calcium channel complex	;response to hypoxia,embryonic heart tube morphogenesis,left ventricular cardiac muscle tissue morphogenesis,cardiac muscle hypertrophy,detection of calcium ion,positive regulation of heart rate,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,response to muscle activity,BMP signaling pathway,calcium-mediated signaling using intracellular calcium source,response to muscle stretch,release of sequestered calcium ion into cytosol,positive regulation of sequestering of calcium ion,response to redox state,canonical Wnt signaling pathway,cellular response to caffeine,cellular response to epinephrine stimulus,establishment of protein localization to endoplasmic reticulum,ventricular cardiac muscle cell action potential,Purkinje myocyte to ventricular cardiac muscle cell signaling,type B pancreatic cell apoptotic process,positive regulation of the force of heart contraction,regulation of AV node cell action potential,regulation of SA node cell action potential,regulation of atrial cardiac muscle cell action potential,regulation of ventricular cardiac muscle cell action potential,positive regulation of calcium-transporting ATPase activity	;ryanodine-sensitive calcium-release channel activity,calcium ion binding,calmodulin binding,protein kinase A catalytic subunit binding,protein kinase A regulatory subunit binding,identical protein binding,protein self-association,suramin binding,calcium-induced calcium release activity	A0A5G2R1W3;F1RHM3	RYR2	Ryanodine receptor 2	NaN	NaN	4965776	476470.8	7554998	NaN	NaN	NaN	5	5	5	NaN
nucleus,mitochondrion	mitochondrion organization		F1RL20	CHCHD10	Coiled-coil-helix-coiled-coil-helix domain containing 10	NaN	NaN	9854840	853305	NaN	1.176358E+07	NaN	NaN	1	1	NaN	1
;;mitochondrial membrane	;cellular amino acid metabolic process,oxidation-reduction process;glutamine metabolic process,oxidation-reduction process,tricarboxylic acid metabolic process	;oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor;glutamate dehydrogenase [NAD(P)+] activity	A0A5G2R3R8;F1SEN2;P42174	GLUD1	Glutamate dehydrogenase;Glutamate dehydrogenase (NAD(P)(+));Glutamate dehydrogenase 1, mitochondrial	NaN	NaN	1082452	538685.9	NaN	1157733	NaN	NaN	3	3	NaN	3
;mitochondrial matrix	;iron-sulfur cluster assembly	;	A0A5G2QMR2;F1S5S1	IBA57	Iron-sulfur cluster assembly factor IBA57	NaN	NaN	758849.4	NaN	213012.3	382326.5	NaN	NaN	1	NaN	1	1
;;nucleus;nucleotide-activated protein kinase complex	;;protein phosphorylation,positive regulation of gene expression,nail development;protein phosphorylation	;;protein kinase activity;AMP-activated protein kinase activity,identical protein binding	A0A286ZQQ4;A0A5G2QTQ1;F1RL45;F1SDB6	PRKAB2;PRKAB1;PRKAB1;PRKAB2	Protein kinase AMP-activated non-catalytic subunit beta 2;5'-AMP-activated protein kinase subunit beta-1;5'-AMP-activated protein kinase subunit beta-1;5'-AMP-activated protein kinase subunit beta-2	NaN	NaN	273335.6	610847.3	193255.8	517334.2	NaN	NaN	1	1	1	1
			A0A286ZTK1	XPO1	Exportin 1	NaN	NaN	2354915	1404921	400155.3	NaN	NaN	NaN	1	1	1	NaN
;Golgi membrane,COPI vesicle coat	;intracellular protein transport,ER to Golgi vesicle-mediated transport,retrograde vesicle-mediated transport, Golgi to ER,intra-Golgi vesicle-mediated transport	;structural molecule activity	A0A286ZPT0;F1SL54	COPB2	Coatomer subunit beta'	NaN	NaN	NaN	2054536	1334894	NaN	NaN	NaN	NaN	1	1	NaN
;dystrophin-associated glycoprotein complex,integral component of membrane;;;extracellular space,nucleoplasm,cytoplasm,cytoskeleton,dystrophin-associated glycoprotein complex,integral component of membrane,cell junction,sarcolemma,postsynaptic membrane	;cytoskeletal anchoring at plasma membrane;;;cytoskeletal anchoring at plasma membrane	;calcium ion binding;;;calcium ion binding	A0A286ZY59;A0A287BAM0;A0A287BBR1;A0A2C9F3F8;Q29243	DAG1	Dystroglycan;Dystroglycan;Dystroglycan;Dystroglycan;Dystroglycan 1	NaN	NaN	NaN	634875	NaN	155410	NaN	NaN	NaN	2	NaN	2
;;;nucleus,cytoplasm,I band,perinuclear region of cytoplasm	;;;regulation of transcription from RNA polymerase II promoter,skeletal muscle cell differentiation,myoblast differentiation	;;;transcription cofactor activity,actin binding,protein binding,titin binding,RNA polymerase II sequence-specific DNA binding transcription factor binding	A0A5S6G838;B7UCQ4;B7UCQ6;Q865U8	ANKRD1	Ankyrin repeat domain-containing protein 1;Ankyrin repeat domain 1 variant i8;Ankyrin repeat domain 1 variant i6,7,8;Ankyrin repeat domain-containing protein 1	NaN	NaN	NaN	80521.84	3862.758	NaN	NaN	NaN	NaN	1	1	1
cytoplasm,Arp2/3 protein complex;;;;;;;	actin filament polymerization,Arp2/3 complex-mediated actin nucleation;;;;;;;	actin binding;;;;;;;	A0A286ZPY9;A0A286ZXR9;A0A5G2QAE1;A0A5G2QG21;A0A5G2QPW1;A0A5G2REK8;A0A5K1VDV6;B5APU9	ARPC4	Actin-related protein 2/3 complex subunit 4;Uncharacterized protein;Actin-related protein 2/3 complex subunit 4;Actin-related protein 2/3 complex subunit 4;Actin-related protein 2/3 complex subunit 4;Uncharacterized protein;Uncharacterized protein;Actin-related protein 2/3 complex subunit 4	NaN	NaN	NaN	196588.8	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
extracellular space	immune response,regulation of receptor activity,cell chemotaxis	chemokine activity	A0A287BRD6	CCL16	C-C motif chemokine	NaN	NaN	NaN	930093.8	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
	cobalamin transport	cobalamin binding	F1RPE4	TCN2	Transcobalamin-2	NaN	NaN	NaN	1.415915E+07	NaN	NaN	NaN	NaN	NaN	5	NaN	NaN
;;	;;	;;	A0A287B7J0;A0A287BD01;I3LIL5	HMGCL	Hydroxymethylglutaryl-CoA lyase	NaN	NaN	NaN	2710003	2424724	2064335	NaN	NaN	NaN	2	2	2
mitochondrial inner membrane,integral component of membrane	electron transport chain,hydrogen ion transmembrane transport	cytochrome-c oxidase activity	A1XQT2	COX6C	Cytochrome c oxidase subunit 6C	NaN	NaN	NaN	1446466	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN
			A0A5G2QBF4	CMC1	COX assembly mitochondrial protein	NaN	NaN	NaN	350326	65335.2	NaN	NaN	NaN	NaN	1	1	NaN
ribosome;;	translation;;	structural constituent of ribosome;;	A0A287A9Y6;A0A5G2QTT1;I3L5B2	RPS7	40S ribosomal protein S7	NaN	NaN	NaN	1269200	1210590	538052.8	NaN	NaN	NaN	2	2	2
;membrane coat;;;	;intracellular protein transport,vesicle-mediated transport;;;	;;;;	A0A286ZP62;A0A287AWH8;A0A5G2QBJ4;A0A5G2QVD5;F2Z5S7	COPZ1	Coatomer subunit zeta	NaN	NaN	NaN	317438.5	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
			F1RSI7	COL22A1	Collagen type XXII alpha 1 chain	NaN	NaN	NaN	177255.3	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
extracellular space,mitochondrial outer membrane,mitochondrial inner membrane,mitochondrial intermembrane space,endoplasmic reticulum,Golgi apparatus,extracellular matrix,cytoplasmic vesicle,node of Ranvier	osteoblast differentiation,negative regulation of cell-matrix adhesion,positive regulation of phosphatidylinositol 3-kinase signaling,skeletal muscle hypertrophy,myelination in peripheral nervous system,positive regulation of cell migration,neuron projection development,negative regulation of Rho protein signal transduction,non-canonical Wnt signaling pathway via JNK cascade,ERBB2-ERBB3 signaling pathway,regulation of MAPK cascade,clustering of voltage-gated sodium channels,positive regulation of stress fiber assembly,negative regulation of stress fiber assembly,positive regulation of focal adhesion assembly,positive regulation of protein kinase B signaling,positive regulation of mitochondrial depolarization,bone development,positive regulation of substrate adhesion-dependent cell spreading	fibronectin binding,frizzled binding,receptor tyrosine kinase binding,myosin light chain binding	Q8HZW2	MYOC	Myocilin	NaN	NaN	NaN	3696300	NaN	NaN	NaN	NaN	NaN	3	NaN	NaN
extracellular matrix;;;	cell adhesion,extracellular matrix organization;;;	calcium ion binding,heparin binding;;;	A0A287AK31;A0A5G2QM67;A0A5G2R880;F1RGS0	THBS3	Thrombospondin 3	NaN	NaN	NaN	2618298	NaN	320626.2	NaN	NaN	NaN	2	NaN	2
extracellular region,cytoplasm		SH3 domain binding	Q8MJ49	OSTF1	Osteoclast-stimulating factor 1	NaN	NaN	NaN	261436.8	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;	;	;	A0A287AIA2;A0A287AK21	TAGLN2	Transgelin	NaN	NaN	NaN	7743590	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
extracellular space;;;	;;;	;;;	A0A287AYW8;A0A288CG58;A0A5G2QVB2;A0A5K1UAD0	SERPINE2	Serpin family E member 2	NaN	NaN	NaN	4424446	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN
;;;;;	;;;;;cytoskeleton organization	;;;;;actin filament binding	A0A286ZU47;A0A287A071;A0A287AXE7;A0A287BT51;F1RWD6;F1RWD9	SVIL	Supervillin	NaN	NaN	NaN	1000831	NaN	NaN	NaN	NaN	NaN	5	NaN	NaN
;;nuclear chromatin,nucleolus,cytoplasm	;;double-strand break repair via homologous recombination,cellular glucose homeostasis,regulation of DNA replication,chromatin organization,transcription from RNA polymerase II promoter,release from viral latency,replication fork processing,interstrand cross-link repair,positive regulation by host of viral transcription,positive regulation by host of viral genome replication,positive regulation of transcription from RNA polymerase II promoter,positive regulation of insulin receptor signaling pathway,regulation of DNA strand elongation,cellular response to X-ray,modulation by host of RNA binding by virus,modulation by host of viral RNA-binding transcription factor activity	;;transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,chromatin binding,double-stranded DNA binding,transcription factor binding	A0A287AWH5;A0A5G2QMJ1;I3L9K5	NUCKS1	Nuclear casein kinase and cyclin dependent kinase substrate 1	NaN	NaN	NaN	155145.6	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;;;;;;sodium:potassium-exchanging ATPase complex,postsynaptic density,basolateral plasma membrane,apical plasma membrane,T-tubule,myelin sheath;;plasma membrane,sodium:potassium-exchanging ATPase complex,integral component of membrane,sarcolemma	;;;;;;regulation of the force of heart contraction,cellular sodium ion homeostasis,regulation of blood pressure,potassium ion import,establishment or maintenance of transmembrane electrochemical gradient,dephosphorylation,cellular potassium ion homeostasis,negative regulation of glucocorticoid biosynthetic process,sodium ion export from cell,response to drug,negative regulation of heart contraction,positive regulation of heart contraction,positive regulation of striated muscle contraction,cellular response to steroid hormone stimulus,membrane repolarization,response to glycoside;;regulation of sodium ion transport,cellular sodium ion homeostasis,potassium ion import,establishment or maintenance of transmembrane electrochemical gradient,cellular potassium ion homeostasis,sodium ion export from cell,membrane repolarization,ATP hydrolysis coupled transmembrane transport,potassium ion import across plasma membrane	;;;;;;sodium:potassium-exchanging ATPase activity,ATP binding,phosphatase activity,metal ion binding,chaperone binding,steroid hormone binding;;sodium:potassium-exchanging ATPase activity,protein binding,ATP binding,potassium ion binding,sodium ion binding,ATPase binding	A0A5G2QG93;A0A5G2QLD6;A0A5G2QRQ1;A0A5G2QZU7;A0A5G2R8S7;D2WKD6;F1SAX3;I3LT88;P05024	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha;Sodium/potassium-transporting ATPase subunit alpha;Sodium/potassium-transporting ATPase subunit alpha;Sodium/potassium-transporting ATPase subunit alpha;Sodium/potassium-transporting ATPase subunit alpha;Sodium/potassium-transporting ATPase subunit alpha;Sodium/potassium-transporting ATPase subunit alpha;Sodium/potassium-transporting ATPase subunit alpha;Sodium/potassium-transporting ATPase subunit alpha-1	NaN	NaN	NaN	623296.7	NaN	1742225	NaN	NaN	NaN	3	NaN	3
;;;cytoplasm,cortical actin cytoskeleton	;;;actin filament fragmentation,positive regulation of actin filament depolymerization,actin filament severing	;;;actin filament binding	A0A5G2RAG2;A0A5G2REA6;A0A5S6IF30;P60982	DSTN	Actin-depolymerizing factor;Actin-depolymerizing factor;Actin-depolymerizing factor;Destrin	NaN	NaN	NaN	1955263	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;nucleoplasm,spliceosomal complex,U1 snRNP	;mRNA splicing, via spliceosome	RNA binding;RNA binding,U1 snRNA binding,snRNA stem-loop binding,identical protein binding	A0A2C9F345;Q06AA4	SNRPA	U1 small nuclear ribonucleoprotein A	NaN	NaN	NaN	165930.7	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
cell junction;;	heart development,actin cytoskeleton organization;;	actin binding;;	A0A287AHZ3;A0A287BKM2;F1S1Y1	XIRP2	Uncharacterized protein	NaN	NaN	NaN	4.69739E+07	NaN	NaN	NaN	NaN	NaN	18	NaN	NaN
;;	;;	;;	A0A286ZJ59;A0A287ANT6;A0A5G2RAC0	TINAGL1	Tubulointerstitial nephritis antigen like 1	NaN	NaN	NaN	133905.3	NaN	259167.5	NaN	NaN	NaN	2	NaN	2
;;;	;;;	;;;	A0A286ZZF7;A0A287BSA1;F1RT56;I3LQV5	PDK2	Protein-serine/threonine kinase	NaN	NaN	NaN	1213400	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
	proteolysis	serine-type endopeptidase activity	F1STR4	PRSS23	Serine protease 23	NaN	NaN	NaN	1551693	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN
;extracellular space;;	;inflammatory response,complement activation,negative regulation of endopeptidase activity;;	;endopeptidase inhibitor activity;;	A0A286ZKB4;A0A287AIM8;A0A287AWP8;F1SME1	C5	Complement C5a anaphylatoxin	NaN	NaN	NaN	1730764	7.765612E+07	1.29137E+08	NaN	NaN	NaN	3	3	3
;	;	;	A0A286ZID4;F1RKH4	HSPB8	Heat shock protein beta-8	NaN	NaN	NaN	7221483	544672	1509879	NaN	NaN	NaN	4	4	4
;;endoplasmic reticulum,signal recognition particle, endoplasmic reticulum targeting	;;SRP-dependent cotranslational protein targeting to membrane, translocation,response to drug	;;signal recognition particle binding,7S RNA binding,TPR domain binding,ribosome binding	A0A286ZZP8;A0A5G2QBU7;F1RTV6	SRP72	Signal recognition particle subunit SRP72	NaN	NaN	NaN	42665.43	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
integral component of membrane;;;;	;;;;	ATP binding,ATPase activity;;;;	A0A287AG24;A0A287AMT0;A0A287B0R0;A0A5G2QA49;I3LJL2	VWA8	von Willebrand factor A domain containing 8	NaN	NaN	NaN	176321.2	NaN	351632.3	NaN	NaN	NaN	3	NaN	3
endoplasmic reticulum	cell redox homeostasis	protein disulfide isomerase activity	F6QA08	PDIA3	Protein disulfide-isomerase	NaN	NaN	NaN	268415.7	854108.8	NaN	NaN	NaN	NaN	3	3	NaN
;;;membrane	;;;	;;;	A0A287A518;A0A287ADF7;A0A5G2R6X6;F2Z543	PHB	Prohibitin	NaN	NaN	NaN	1767572	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
integral component of plasma membrane;;;;	cell volume homeostasis,potassium ion transmembrane transport,chloride transmembrane transport;;;;	potassium:chloride symporter activity;;;;	A0A287B5R1;A0A287BE45;A0A287BQE2;A0A5G2Q9F2;I3L7H3	SLC12A7	Solute carrier family 12 member 7	NaN	NaN	NaN	217276.8	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;;;;	;;;;regulation of transcription, DNA-templated	;;;;	A0A286ZYY3;A0A287AGD1;A0A5G2QE08;A0A5G2RGW8;F1SUH2	CCAR1	Cell division cycle and apoptosis regulator 1	NaN	NaN	NaN	125363.2	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
		GTPase activity,GTP binding	A0A286ZMQ7	RAB12	RAB12, member RAS oncogene family	NaN	NaN	NaN	350744.6	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;	;	;	A0A287A0Q8;I3LNG8	STIP1	Hsc70/Hsp90-organizing protein	NaN	NaN	NaN	88297.88	NaN	1661923	NaN	NaN	NaN	3	NaN	3
;;microtubule;	;;microtubule cytoskeleton organization;	;;microtubule binding;	A0A287AYD5;A0A5G2RLE3;F1SI65;I3LDT2	MAP1A	Microtubule associated protein 1A	NaN	NaN	NaN	202385	47347.94	22428.92	NaN	NaN	NaN	4	4	4
;integral component of membrane	;	;calcium ion binding	A0A5G2RI19;F1S9A4	NUCB2	Uncharacterized protein	NaN	NaN	NaN	565697.8	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;nucleus,cytoplasm,cell cortex	;positive regulation of epithelial cell migration,actin cytoskeleton organization,regulation of actin filament polymerization,negative regulation of actin filament polymerization,positive regulation of actin filament polymerization,positive regulation of actin filament bundle assembly,positive regulation of ATPase activity,protein stabilization,negative regulation of stress fiber assembly,positive regulation of ruffle assembly	;adenyl-nucleotide exchange factor activity,actin binding,actin monomer binding,phosphatidylinositol-4,5-bisphosphate binding,cadherin binding,proline-rich region binding	A0A5G2R9A9;F1RFY1	PFN1	Profilin	NaN	NaN	NaN	5909645	1658474	2987180	NaN	NaN	NaN	2	2	2
;cytosol	;fatty acid biosynthetic process,lipid A biosynthetic process	;acyl binding,ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process,phosphopantetheine binding	A0A287AAR5;F1SAB6	NDUFAB1	Acyl carrier protein	NaN	NaN	NaN	540739.3	509529.4	2053319	NaN	NaN	NaN	1	1	1
;;	;;RNA splicing	;;	A0A287A2Y0;A0A5K1VE26;F1SV47	THRAP3	Thyroid hormone receptor associated protein 3;Thyroid hormone receptor-associated protein 3;Thyroid hormone receptor associated protein 3	NaN	NaN	NaN	184352.2	1180242	281658.9	NaN	NaN	NaN	4	4	4
;extracellular space	;negative regulation of endopeptidase activity	;endopeptidase inhibitor activity	A0A287A1B4;A0A287AG58	PZP	Uncharacterized protein	NaN	NaN	NaN	209718.5	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
cytosolic small ribosomal subunit	translation	structural constituent of ribosome	P46405	RPS12	40S ribosomal protein S12	NaN	NaN	NaN	119628.3	NaN	983758.8	NaN	NaN	NaN	1	NaN	1
nucleoplasm,mitochondrion,peroxisome	metabolic process	fatty-acyl-CoA binding,catalytic activity,receptor binding	F1RWZ4	ECI2	Enoyl-CoA delta isomerase 2	NaN	NaN	NaN	1674983	148896.3	448418.6	NaN	NaN	NaN	1	1	1
;	;	;	A0A287A2S2;F1ST93	PALS2	MAGUK p55 subfamily member 6 isoform X1;Membrane palmitoylated protein 6	NaN	NaN	NaN	3215837	7882708	75581.48	NaN	NaN	NaN	2	2	2
;;;kinetochore microtubule,cytoplasmic microtubule;;;;;;;;;;;	;;;;;;;;;;;;;;	;;;kinetochore binding,microtubule plus-end binding;;;;;;;;;;;	A0A286ZIY7;A0A286ZP90;A0A286ZTD6;A0A287A571;A0A287AA01;A0A287AC13;A0A287AEM4;A0A287AJG9;A0A287B3E4;A0A287BBG3;A0A287BS64;F1RRD7;F1RXX6;I3LCL0;I3LQF9	CLASP2;CLASP1;CLASP1;CLASP1;CLASP2;CLASP2;CLASP2;CLASP2;CLASP2;CLASP2;CLASP2;CLASP2;CLASP1;CLASP1;CLASP2	Cytoplasmic linker associated protein 2;Cytoplasmic linker associated protein 1;Cytoplasmic linker associated protein 1;Cytoplasmic linker associated protein 1;Cytoplasmic linker associated protein 2;Cytoplasmic linker associated protein 2;Cytoplasmic linker associated protein 2;Cytoplasmic linker associated protein 2;Cytoplasmic linker associated protein 2;Cytoplasmic linker associated protein 2;Cytoplasmic linker associated protein 2;Cytoplasmic linker associated protein 2;Cytoplasmic linker associated protein 1;Cytoplasmic linker associated protein 1;Cytoplasmic linker associated protein 2	NaN	NaN	NaN	590354.1	649694	402707.7	NaN	NaN	NaN	1	1	1
;;;;;;extracellular space,nucleus,cytoplasm,extracellular matrix	;;;;;;negative regulation of transcription from RNA polymerase II promoter,transcription, DNA-templated,regulation of cardiac muscle hypertrophy,positive regulation of calcineurin-NFAT signaling cascade	;;;;;;transcription corepressor activity,zinc ion binding	A0A5G2Q8A7;A0A5G2QFD7;A0A5G2QTN0;A0A5G2QVD0;A0A5G2QVX1;A0A5G2R4Z6;Q5PXT2	LMCD1	LIM and cysteine-rich domains protein 1	NaN	NaN	NaN	163843.5	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
			F1SDT0	JPH2	Uncharacterized protein	NaN	NaN	NaN	51373.97	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;;;;;	;;;;;	;;;;RNA binding;	A0A286ZQK4;A0A286ZW19;A0A286ZZF1;A0A287A7Q1;A0A287BQM0;F1RUN0	CELF2	CUGBP Elav-like family member 2	NaN	NaN	NaN	2147164	NaN	121377.3	NaN	NaN	NaN	2	NaN	2
extracellular space,external side of plasma membrane;extracellular region	positive regulation of protein phosphorylation,proteolysis,acute-phase response,cell surface receptor signaling pathway,positive regulation of cell proliferation,regulation of cell shape,regulation of gene expression,positive regulation of phosphatidylinositol 3-kinase signaling,platelet activation,positive regulation of blood coagulation,positive regulation of cell growth,positive regulation of collagen biosynthetic process,fibrinolysis,negative regulation of proteolysis,negative regulation of astrocyte differentiation,positive regulation of release of sequestered calcium ion into cytosol,cytolysis by host of symbiont cells,Requires Ontology,neutrophil mediated killing of gram-negative bacterium,positive regulation of lipid kinase activity,negative regulation of cytokine production involved in inflammatory response,positive regulation of protein localization to nucleus,positive regulation of phospholipase C-activating G-protein coupled receptor signaling pathway,positive regulation of reactive oxygen species metabolic process;proteolysis,acute-phase response,blood coagulation	lipopolysaccharide binding,serine-type endopeptidase activity,receptor binding,calcium ion binding,heparin binding,thrombospondin receptor activity;serine-type endopeptidase activity,calcium ion binding	F1SIB1;Q19AZ8	F2	Prothrombin	NaN	NaN	NaN	295704.2	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
	oxidation-reduction process	oxidoreductase activity	A0A287A6F5	ZADH2	Prostaglandin reductase 3 isoform 1	NaN	NaN	NaN	263504.1	NaN	7216317	NaN	NaN	NaN	2	NaN	2
			K7GQ50	S100A1	Protein S100-A1	NaN	NaN	NaN	440295.3	NaN	269774.1	NaN	NaN	NaN	1	NaN	1
;;;proteinaceous extracellular matrix	;;;extracellular matrix organization	;;;protein homodimerization activity,extracellular matrix binding	A0A287A1H6;A0A2C9F384;A0A5G2R4B1;A2BD09	OLFML2A	Olfactomedin-like protein 2A	NaN	NaN	NaN	70294.03	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;	;proteolysis	;cysteine-type endopeptidase activity	A0A287A3E4;A0A287AZZ1	CASP3	Caspase-3	NaN	NaN	NaN	157252.4	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN
DNA-directed RNA polymerase I complex	transcription from RNA polymerase I promoter,negative regulation of protein localization to nucleolus	DNA binding,chromatin binding,zinc ion binding,RNA polymerase I activity	F1SVC3	POLR1A	DNA-directed RNA polymerase subunit	NaN	NaN	NaN	2813824	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
	regulation of transcription, DNA-templated	DNA binding,transcription coactivator activity	A0A287AUW4	SUB1	Activated RNA polymerase II transcriptional coactivator p15	NaN	NaN	NaN	129294.6	NaN	2273791	NaN	NaN	NaN	1	NaN	1
;	;	ornithine-oxo-acid transaminase activity,pyridoxal phosphate binding;	A0A287BBB4;F1SDP3	OAT	Ornithine--oxo-acid aminotransferase	NaN	NaN	NaN	1489482	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;;extracellular region,external side of plasma membrane	;;defense response,immune response,axon guidance,positive regulation of cell migration,positive chemotaxis,induction of positive chemotaxis,cell chemotaxis,chemokine-mediated signaling pathway	;;chemokine activity,chemoattractant activity,CXCR chemokine receptor binding	A0A5G2QQD0;F6Q382;Q6EKW4	CXCL12	C-X-C motif chemokine 12	NaN	NaN	NaN	47309.91	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
ribosome;;cytosolic large ribosomal subunit	translation;;cytoplasmic translation	structural constituent of ribosome;;RNA binding,structural constituent of ribosome	A0A286ZL65;A0A287A452;P79324	RPL15	Ribosomal protein L15;Ribosomal protein L15;60S ribosomal protein L15 (Fragment)	NaN	NaN	NaN	525890.6	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
